Latitude,Longitude,UseCategory,Buildings,Units,Stories,Rooms,Beds,YearBuilt,Baths,Area,LandValue,ImprovementValue,HomeValue,LatestDocument
37.7569511,-122.2376697,Single-family Detached,1,1,1,6,3,1900,1.0,1134,54029,12106,66135,1969
37.7346683,-122.239088,Single-family Detached,1,1,1,6,4,1957,2.0,1196,34300,40577,74877,1969
37.73482,-122.2334592,Single-family Detached,1,1,1,4,2,1952,1.0,1223,40353,40802,81155,1969
37.75874,-122.2446611,Single-family Attached,2,3,2,14,7,1900,3.5,3300,49094,66521,115615,1969
37.7697874,-122.2662971,Single-family Detached,1,1,1,5,2,1910,1.0,1029,55037,87819,142856,1969
37.762686,-122.2458688,Single-family Detached,1,1,2,5,3,1907,1.0,1636,47751,17262,65013,1970
37.7759028,-122.2720127,Single-family Detached,1,1,1,5,2,1927,1.0,1012,34970,37073,72043,1970
37.7755832,-122.2623002,Single-family Detached,1,1,2,8,4,1919,2.0,1908,40788,42546,83334,1970
37.772663,-122.246725,Single-family Detached,1,1,2,7,4,1905,1.0,1738,41474,22194,63668,1971
37.7634073,-122.2646133,Single-family Detached,1,1,1,7,4,1963,2.0,1271,47079,45061,92140,1971
37.752913,-122.2326392,Single-family Detached,1,1,1,6,3,1958,2.0,1542,46855,60082,106937,1971
37.7602754,-122.2384121,Single-family Detached,1,1,1,5,2,1910,1.0,1199,50760,103402,154162,1971
37.7728688,-122.2495359,Single-family Detached,1,1,1,4,2,1918,1.0,828,40802,15020,55822,1972
37.7569461,-122.2408608,Single-family Detached,1,1,1,6,3,1922,1.0,1097,49096,22642,71738,1972
37.7367931,-122.2483994,Townhouse,1,1,2,8,4,1969,2.5,1628,21970,66583,88553,1972
37.7755518,-122.2614531,Single-family Attached,1,2,0,0,0,1900,0.0,1644,42595,17934,60529,1973
37.7757672,-122.2856139,Single-family Detached,1,1,1,5,2,1904,1.5,1287,47976,16589,64565,1973
37.7773865,-122.2717912,Single-family Detached,1,1,1,6,5,1910,1.0,2296,39813,72469,112282,1973
37.7518618,-122.2399301,Single-family Detached,1,1,2,6,3,1971,2.0,1909,37663,86087,123750,1973
37.763743,-122.2655881,Single-family Detached,1,1,1,12,5,1963,3.0,2846,43492,156853,200345,1973
37.7738838,-122.2713038,Single-family Detached,1,1,1,7,4,1900,3.0,2872,46375,166991,213366,1973
37.7704378,-122.2656324,Single-family Detached,1,1,1,5,2,1924,1.0,1535,61671,191633,253304,1973
37.776189,-122.265579,Single-family Detached,1,1,1,5,2,1905,1.0,1127,30041,12778,42819,1974
37.7676556,-122.2424119,Single-family Detached,1,1,1,6,3,1891,1.0,1469,39905,9640,49545,1974
37.7718062,-122.2817837,Single-family Detached,1,1,1,5,2,1915,1.0,1189,43940,19055,62995,1974
37.7748131,-122.2902934,Single-family Detached,1,1,1,5,3,1945,1.0,1008,41250,30041,71291,1974
37.770196,-122.272548,Single-family Detached,1,1,2,8,4,1915,2.0,2166,49321,31386,80707,1974
37.7692728,-122.2537126,Single-family Detached,1,1,1,6,2,1937,1.5,1804,51563,36318,87881,1974
37.7696888,-122.2425892,Single-family Detached,1,1,1,5,2,1910,1.5,1788,44301,43948,88249,1974
37.7669723,-122.2314647,Single-family Attached,1,2,0,0,0,1940,0.0,2096,60530,53132,113662,1974
